"","","","","classificacoes"
"108",0.631249674862596,0.545594881180217,0.491698238272236,2
"109",0.343224387830037,0.411068147989388,0.00923558404997053,3
"110",0.58642241140411,0.602584027042532,0.455465483216438,1
"111",0.676405527545371,0.596742657433125,0.317321636268093,1
"112",0.677067331005296,0.637101428502502,0.324493685348415,1
"113",0,0,0.430238965934644,3
"114",0.476212054362964,0.609663346557587,0.51608820477193,2
"115",0.628188294306176,0.599093309866859,0.320650610588957,1
"116",0.784745952164708,0.579865256539283,0.44068039673746,2
"117",1,0.569341900883733,0.402191251266203,2
"118",0.477436771748955,0.52741382772911,0.271742436985356,1
"119",0.53175790201592,0.341316143026861,0.324051616109536,1
"120",0.829270106450155,0.554214429384966,0.524444553744179,2
"121",0.519668587105643,0.556876571573669,0.434832475222853,1
"122",0.590066468230724,0.529036756828238,0.708960674711347,2
"123",0.838139211482263,0.514917186226757,0.431483894583888,2
"124",0.356127830763894,0.406778084518951,0.0236359176457191,3
"125",0.6148543553194,0.486913902528222,0.532808742677401,2
"126",0.581594107429888,0.479465140076623,0.348127354893406,1
"127",0.63640063297715,0.473039324757849,0.468073234809528,2
"128",0.738077550135486,0.470934078727335,0.456448700101641,2
"129",0.537225397082573,0.474034717600335,0.748399499046616,2
"130",0.498891702715209,0.443246695537871,0.709354942611106,2
"131",0.531645647425682,0.418168721461021,0.423656341474296,1
"132",0.500331168867132,0.393636944137856,0.539610221052078,2
"133",0.61283827608433,0.397056146007603,0.338291262552382,1
"134",0.557382296569525,0.411687892487545,0.373596848885877,1
"135",0.522629136334003,0.305117993796647,0.230622318155511,3
