"","","","","classificacoes"
"76",0.544785711199796,0.485707990751541,0.388508249518415,2
"77",0.567177346073569,0.486140323752081,0.364016992220379,2
"78",0.249141672564439,0.457283310667952,0.0211295827457171,1
"79",0.62634354516278,0.478758956461473,0.2434822961487,2
"80",0.472664665303984,0.482206944667376,0.321599865219727,2
"81",0.592095752832988,0.481820512457067,0.193322248769735,2
"82",0.276785752411252,0.472956919231017,0.032645603313197,1
"83",0.514882085509877,0.480525489258953,0.352860278946289,2
"84",0.52523119117945,0.480824314014687,0.373693425625229,2
"85",0.332790174976939,0.476697403460955,0.359516212371544,3
"86",0.25328927466711,0.457085623013801,0.0352494086968012,1
"87",0.531096322027474,0.479358739032184,0.153921345781589,2
"88",0.322919780219809,0.485202315759516,0.253582452837143,3
"89",0.417878859404792,0.477643530348158,0.277525354356152,3
"90",0.270367635125382,0.500088485027123,0.204159122342844,1
"91",0.303060520311519,0.485694151830378,0.375180879361778,3
"92",0.454928637500571,0.481327137795325,0.39477615795065,3
"93",0.455829542135776,0.47279499978353,0.323864946107592,3
"94",0.374423627371866,0.472972391956666,0.428358264913814,3
"95",0.315980076517767,0.461120976308634,0.0231743551782624,1
"96",0.576931149678506,0.47968571330194,0.311928727774126,2
"97",0.338752104297618,0.462891151593824,0.0994477002829422,1
"98",0.479441167376425,0.479842286325584,0.24769346940873,2
"99",0.49882076226852,0.478225858726582,0.51795295561442,3
"100",0.414018929818865,0.479124970026335,0.401827888468427,3
"101",0.553481909921269,0.478880771157312,0.432486115149259,2
"102",0.538816213925386,0.483038010789273,0.34956295959886,2
"103",0.482336774635375,0.473897404438656,0.40467841490062,2
"104",0.449271278453674,0.480219196724628,0.36520842631389,3
"105",0.316533305426335,0.497071144999591,0.422804432740506,3
"106",0,0.441484237852405,0.169423486218137,1
"107",0.68188539072677,0.478513633475344,0.217894556153445,2
"108",0.449719776944391,0.477046549117787,0.25797497846614,2
"109",0.201912376164556,1,0.0981310491099906,1
"110",0.34537006192796,0.478567603159311,0.439571580610186,3
"111",0.31453484201234,0.483577438673553,0.383558155665499,3
"112",0.568057790991287,0.480121128674822,0.323135881362394,2
"113",0.433668232395012,0.473743483928964,0.43837843856187,3
"114",0.401226026365285,0.484325876776687,0.206743786590619,1
"115",0.480248345987428,0.473135236497198,0.307835187822395,2
"116",0.219300423638746,0.605915412067775,0.188168540450188,1
"117",0.399868144797451,0.485097137488907,0.281496493856724,3
